# amostra;estacao;data;volume;filtro;saida;# amostra;665nm;750nm;665A;750A;
1;13;08-Jul;150;p;4;1;0.160;0.127;0.145;0.120;
2;8;08-Jul;150;p;4;2;0.049;0.040;0.042;0.040;
3;7;08-Jul;150;p;4;3;0.090;0.070;0.086;0.065;
4;22;08-Jul;150;p;4;4;0.051;0.039;0.046;0.037;
5;16;08-Jul;150;p;4;5;0.054;0.042;0.048;0.037;
6;6;08-Jul;200;p;4;6;0.114;0.087;0.111;0.088;
7;12;08-Jul;150;p;4;7;0.048;0.037;0.042;0.033;
8;9;08-Jul;150;p;4;8;0.057;0.044;0.049;0.040;
9;5;08-Jul;290;p;4;9;0.122;0.086;0.110;0.083;
10;1;08-Jul;500;p;4;10;0.054;0.043;0.042;0.035;
11;20;08-Jul;150;p;4;11;0.050;0.035;0.043;0.033;
12;18;08-Jul;150;p;4;12;0.042;0.032;0.037;0.029;
13;19;08-Jul;150;p;4;13;0.034;0.024;0.032;0.023;
14;3;08-Jul;500;p;4;14;0.024;0.010;0.015;0.006;
15;14;08-Jul;150;p;4;15;0.044;0.032;0.042;0.032;
16;21;08-Jul;150;p;4;16;0.046;0.033;0.042;0.032;
17;13;08-Jul;150;p;4;17;0.067;0.052;0.059;0.046;
18;2;08-Jul;500;p;4;18;0.046;0.033;0.035;0.024;
19;4;08-Jul;500;p;4;19;0.095;0.078;0.084;0.066;
20;17;08-Jul;150;p;4;20;0.036;0.026;0.032;0.024;
21;9;25-Jan;500;g;1;21;0.079;0.039;0.079;0.050;
22;7;25-Jan;500;g;1;22;0.077;0.043;0.074;0.045;
23;8;25-Jan;450;g;1;23;0.101;0.075;0.096;0.071;
24;4;25-Jan;423;g;1;24;0.050;0.034;0.048;0.039;
25;6;25-Jan;650;g;1;25;0.133;0.096;0.110;0.082;
26;2;25-Jan;600;g;1;26;0.050;0.016;0.035;0.012;
27;3;25-Jan;550;g;1;27;0.084;0.042;0.069;0.040;
28;20;25-Jan;650;g;1;28;0.084;0.042;0.063;0.034;
29;15;25-Jan;1150;g;1;29;0.057;0.009;0.034;0.006;
30;14;25-Jan;750;g;1;30;0.068;0.023;0.051;0.024;
31;17;25-Jan;650;g;1;31;0.082;0.024;0.060;0.027;
32;5;25-Jan;400;g;1;32;0.056;0.043;0.051;0.038;
33;19;25-Jan;650;g;1;33;0.083;0.035;0.073;0.034;
34;18;25-Jan;500;g;1;34;0.090;0.010;0.042;0.012;
35;12;25-Jan;800;g;1;35;0.081;0.026;0.062;0.023;
36;10;25-Jan;500;g;1;36;0.080;0.037;0.110;0.063;
37;11;25-Jan;550;g;1;37;0.099;0.064;0.067;0.050;
38;1;01-Oct;200;p;5;38;0.033;0.024;0.029;0.022;
39;2;01-Oct;200;p;5;39;0.023;0.016;0.020;0.016;
40;3;01-Oct;150;p;5;40;0.101;0.090;;;
41;4;01-Oct;100;p;5;41;0.026;0.019;0.023;0.019;
42;5;01-Oct;125;p;5;42;0.048;0.039;0.046;0.040;
43;6;01-Oct;150;p;5;43;0.052;0.043;0.049;0.040;
44;7;01-Oct;200;p;5;44;0.053;0.040;0.048;0.040;
45;8;01-Oct;200;p;5;45;0.036;0.028;0.035;0.027;
46;9;01-Oct;250;p;5;46;0.045;0.035;0.042;0.037;
47;10;01-Oct;250;p;5;47;0.050;0.042;0.046;0.037;
48;11;01-Oct;200;p;5;48;0.072;0.062;0.131;0.096;
49;12;01-Oct;200;p;5;49;0.080;0.067;0.075;0.064;
50;13;01-Oct;300;p;5;50;0.046;0.038;0.045;0.036;
51;14;01-Oct;225;p;5;51;0.050;0.038;0.040;0.035;
52;15;01-Oct;150;p;5;52;0.051;0.040;0.049;0.039;
53;16;01-Oct;200;p;5;53;0.066;0.053;0.062;0.050;
54;17;01-Oct;250;p;5;54;0.070;0.062;0.079;0.064;
55;18;01-Oct;150;p;5;55;0.024;0.018;0.023;0.017;
56;19;01-Oct;150;p;5;56;0.048;0.037;0.046;0.037;
57;20;01-Oct;250;p;5;57;0.077;0.061;0.070;0.060;
58;21;01-Oct;550;p;5;58;0.092;0.072;0.092;0.071;PP