Final;estacao;data
5.08;2;25-Jan
6.55;3;25-Jan
4.58;4;25-Jan
3.84;6;25-Jan
2.77;7;25-Jan
0.62;8;25-Jan
6.09;9;25-Jan
9.07;11;25-Jan
5.54;12;25-Jan
6.65;14;25-Jan
4.82;15;25-Jan
10.65;17;25-Jan
27.70;18;25-Jan
3.84;19;25-Jan
5.54;20;25-Jan
2.22;1;08-Jul
1.11;2;08-Jul
2.77;3;08-Jul
8.60;5;08-Jul
5.54;6;08-Jul
12.93;8;08-Jul
7.39;9;08-Jul
3.69;12;08-Jul
14.77;13;08-Jul
3.69;13;08-Jul
3.69;14;08-Jul
1.85;16;08-Jul
3.69;17;08-Jul
3.69;18;08-Jul
1.85;19;08-Jul
9.23;20;08-Jul
5.54;21;08-Jul
5.54;22;08-Jul
2.77;1;01-Oct
4.16;2;01-Oct
8.31;4;01-Oct
6.65;5;01-Oct
6.93;7;01-Oct
5.54;9;01-Oct
2.77;12;01-Oct
8.62;14;01-Oct
1.85;15;01-Oct
1.39;16;01-Oct
3.69;19;01-Oct
6.65;20;01-Oct