# Amostra;Ponto;Data;N 640nm;Diluição;Sem Dil;P  885nm;;Curva N;Abs;Curva P;Abs
1;1;27/05/17;0.011;;;0.016;µM/L;0.0;0.0;0.0;0.0
2;2;27/05/17;0.005;;;0.015;;0.5;0.032;0.5;0.007
3;3;27/05/17;0.013;x2;0.180;0.007;;1.0;0.031;1.0;0.017
4;4;27/05/17;0.011;x2;0.163;0.007;;2.0;0.014;2.0;0.035
5;5;27/05/17;0.042;x2;0.144;0.008;;4.0;0.047;4.0;0.078
6;6;27/05/17;0.019;;;0.015;;8.0;0.073;;
7;7;27/05/17;0.045;;;0.013;;;;;
8;8;27/05/17;0.062;;;0.015;;;;;
9;9;27/05/17;0.030;;;0.008;;;;;
10;10;27/05/17;0.068;;;0.011;;;;;
11;11;27/05/17;0.032;;;0.013;;;;;
12;12;27/05/17;-0.028;x2;0.086;0.014;;;;;
13;14;27/05/17;0.079;;;0.013;;;;;
14;15;27/05/17;0.007;;;0.009;;;;;
15;17;27/05/17;0.031;;;0.008;;;;;
16;18;27/05/17;0.027;;;0.007;;;;;
17;19;27/05/17;0.045;;;0.009;;;;;
18;20;27/05/17;0.041;;;0.004;;;;;
19;1;08/07/17;0.018;;;0.011;;;;;
20;2;08/07/17;0.009;;;0.011;;;;;
21;3;08/07/17;0.023;;;0.017;;;;;
22;4;08/07/17;0.022;;;0.011;;;;;
23;5;08/07/17;-0.019;x2;0.106;0.010;;;;;
24;6;08/07/17;0.003;x2;0.151;0.008;;;;;
25;7;08/07/17;0.028;x2;0.123;0.005;;;;;
26;8;08/07/17;0.009;;;0.010;;;;;
27;9;08/07/17;0.028;;;0.012;;;;;
28;12;08/07/17;0.028;;;0.007;;;;;
29;13;08/07/17;0.024;;;0.004;;;;;
30;14;08/07/17;0.022;;;0.004;;;;;
31;15;08/07/17;0.023;;;0.002;;;;;
32;16;08/07/17;0.043;;;0.007;;;;;
33;17;08/07/17;0.034;;;0.003;;;;;
34;18;08/07/17;0.043;;;0.003;;;;;
35;19;08/07/17;0.049;;;0.005;;;;;
36;20;08/07/17;0.049;;;0.004;;;;;
37;21;08/07/17;0.038;;;0.006;;;;;
38;22;08/07/17;0.064;;;0.004;;;;;
39;2;25/01/17;0.059;;;0.005;;;;;
40;3;25/01/17;0.022;x2;0.137;0.008;;;;;
41;5;25/01/17;0.017;x2;0.155;0.008;;;;;
42;6;25/01/17;0.009;x2;0.121;0.009;;;;;
43;7;25/01/17;0.070;x2;0.287;0.007;;;;;
44;9;25/01/17;-0.006;x2;0.129;0.009;;;;;
45;10;25/01/17;-0.005;x2;0.129;0.009;;;;;
46;11;25/01/17;0.002;x2;0.109;0.005;;;;;
47;12;25/01/17;0.045;;;0.004;;;;;
48;14;25/01/17;0.014;;;0.003;;;;;
49;15;25/01/17;0.027;;;0.004;;;;;
50;17;25/01/17;-0.002;;;0.005;;;;;
51;18;25/01/17;-0.002;;;0.014;;;;;
52;19;25/01/17;-0.010;;;0.005;;;;;
53;20;25/01/17;-0.025;;;0.004;;;;;