Ponto;Lat;Lon;Hora;Secchi (cm);Data;CC;Surf Temp;Bot Temp;Surf Sal;Bot Sal
st1;-28.495191;-48.75324;14:04;135;01-Oct-17;2.77;22.2951;18.9381;5.3497;35.0655
st2;-28.496576;-48.759543;14:11;150;01-Oct-17;4.16;20.7373;19.0296;0.92;35.0191
st4;-28.513133;-48.808737;14:34;80;01-Oct-17;8.31;19.3257;19.1444;35.1256;34.9765
st5;-28.506856;-48.797201;14:43;90;01-Oct-17;6.65;22.0471;19.225;2.6197;31.5225
st6;-28.499238;-48.786512;14:50;90;01-Oct-17;;22.0035;19.5271;2.9203;33.7108
st7;-28.478801;-48.791544;14:58;115;01-Oct-17;6.93;21.4798;19.2974;9.5395;34.9407
st9;-28.491002;-48.806651;15:08;75;01-Oct-17;5.54;20.7052;20.6943;28.0976;28.6885
st8;-28.482447;-48.794307;15:21;120;01-Oct-17;;21.6781;19.6958;1.9685;32.944
st10;-28.462787;-48.804977;15:33;180;01-Oct-17;;22.8854;21.4572;19.956;25.0623
st11;-28.469858;-48.810978;15:49;130;01-Oct-17;;22.381;22.4378;25.5689;26.284
st12;-28.474591;-48.823625;16:01;190;01-Oct-17;2.77;22.1741;21.9495;27.4704;27.3769
st13;-28.497268;-48.83225;16:16;130;01-Oct-17;;23.3963;22.2691;17.0851;27.4336
st16;-28.46321;-48.845545;16:25;130;01-Oct-17;1.39;23.1229;21.7973;26.9974;27.5751
st15;-28.457497;-48.831837;16:34;100;01-Oct-17;1.85;23.0797;22.6945;8.7478;26.2641
st18;-28.42399;-48.833888;16:45;170;01-Oct-17;;23.1337;22.1972;3.2055;27.2399
st19;-28.433828;-48.82495;16:52;150;01-Oct-17;3.69;23.8402;22.2175;9.6932;27.1084
st20;-28.429048;-48.830182;17:03;90;01-Oct-17;6.65;24.4227;24.3767;9.3087;25.2176
st17;-28.44227;-48.840621;17:19;230;01-Oct-17;;22.9202;22.9055;27.1034;27.074
st14;-28.450671;-48.821951;17:33;120;01-Oct-17;8.62;22.5526;20.6024;18.3614;32.5611
st1;-28.495191;-48.75324;14:44;125.0;08-Jul-17;2.22;19.7455;19.3237;21.7097;33.1994
st2;-28.496576;-48.759543;14:53;110.0;08-Jul-17;1.11;19.5345;19.3598;33.3422;33.1671
st3;-28.501429;-48.772616;15:00;100.0;08-Jul-17;2.77;19.4677;19.3384;33.1258;33.1854
st4;-28.513133;-48.808737;15:07;100.0;08-Jul-17;;19.4454;19.3423;20.2782;33.1453
st5;-28.506856;-48.797201;15:13;100.0;08-Jul-17;8.60;19.8182;19.1643;14.0809;31.0602
st6;-28.499238;-48.786512;15:19;80.0;08-Jul-17;5.54;19.7749;18.9422;5.7041;31.0049
st7;-28.478801;-48.791544;15:26;70.0;08-Jul-17;;20.0762;18.9306;4.617;27.1583
st8;-28.482447;-48.794307;15:42;70.0;08-Jul-17;12.93;19.4879;19.4289;32.3851;32.9866
st9;-28.491002;-48.806651;15:51;40.0;08-Jul-17;7.39;19.4619;19.5795;17.2474;28.2259
st10;-28.462787;-48.804977;16:01;100.0;08-Jul-17;;20.879;20.6976;0.9849;29.4319
st11;-28.469858;-48.810978;16:10;115.0;08-Jul-17;;20.6948;20.0394;9.6426;25.5218
st12;-28.474591;-48.823625;16:20;120.0;08-Jul-17;3.69;20.1136;21.1836;0.9718;24.9486
st13;-28.497268;-48.83225;16:28;100.0;08-Jul-17;14.77;20.1169;20.3751;12.5766;18.8329
st14;-28.450671;-48.821951;16:37;110.0;08-Jul-17;3.69;19.9841;19.7244;8.7003;26.3995
st15;-28.457497;-48.831837;16:53;60.0;08-Jul-17;;21.3145;21.3495;14.6726;14.6012
st16;-28.46321;-48.845545;17:11;;08-Jul-17;1.85;19.9306;19.9528;14.1223;22.6325
st17;-28.44227;-48.840621;17:28;;08-Jul-17;3.69;20.0201;20.1659;9.1558;19.2487
st18;-28.42399;-48.833888;17:40;;08-Jul-17;3.69;20.0646;20.1106;16.284;18.5623
st19;-28.433828;-48.82495;17:46;;08-Jul-17;1.85;19.38;20.0004;0.6333;16.3334
st20;-28.429048;-48.830182;17:57;;08-Jul-17;9.23;19.457;19.9828;8.0014;13.0602
st1;-28.495191;-48.75324;15:00:00;;27-May-17;;20.4018;20.3119;30.2789;35.4365
st2;-28.496576;-48.759543;15:05:00;;27-May-17;;20.4084;20.3767;35.3616;35.549
st3;-28.501429;-48.772616;15:15:00;60;27-May-17;;20.3609;20.4194;35.4453;35.5646
st6;-28.499238;-48.786512;15:43:00;75;27-May-17;;21.0526;20.4449;4.3588;29.5833
st5;-28.506856;-48.797201;15:34:00;75;27-May-17;;21.5373;20.5067;3.2731;32.5871
st4;-28.513133;-48.808737;15:26:00;75;27-May-17;;22.0242;20.6116;4.4878;35.6513
st7;-28.478801;-48.791544;15:52:00;55;27-May-17;;18.2024;20.6225;8.7616;29.6032
st8;-28.482447;-48.794307;15:58:00;65;27-May-17;;20.5458;20.5391;29.772;30.122
st9;-28.491002;-48.806651;16:05:00;55;27-May-17;;20.4565;20.5443;28.0308;28.4868
st13;-28.497268;-48.83225;16:15:00;120;27-May-17;;18.4431;20.6423;16.4306;26.0501
st12;-28.474591;-48.823625;16:26:00;125;27-May-17;;20.3261;20.6472;21.7178;27.3058
st11;-28.469858;-48.810978;16:35:00;105;27-May-17;;18.4657;20.5642;11.0811;27.11
st10;-28.462787;-48.804977;16:44:00;100;27-May-17;;20.5596;20.5984;24.9675;25.8781
st14;-28.450671;-48.821951;16:54:00;130;27-May-17;;20.1908;20.4582;17.274;24.1061
st15;-28.457497;-48.831837;17:02:00;135;27-May-17;;20.4109;20.5732;25.3062;25.6354
st16;-28.46321;-48.845545;17:14:00;140;27-May-17;;19.9226;21.0702;22.9651;27.6439
st17;-28.44227;-48.840621;17:26:00;140;27-May-17;;20.7029;20.99;24.1904;27.5754
st18;-28.42399;-48.833888;17:36:00;55;27-May-17;;18.7273;20.9692;3.3603;21.8937
st19;-28.433828;-48.82495;17:51:00;-;27-May-17;;20.8621;20.7661;18.6591;23.6014
st20;-28.429048;-48.830182;17:44:00;-;27-May-17;;20.9501;21.0464;17.7801;20.0715
st1;-28.495191;-48.75324;14:15;2.5;25-Jan-17;5.08;28.1006;26.0133;17.706;34.7061
st6;-28.499238;-48.786512;14:47;0.6;25-Jan-17;3.84;25.7623;25.7496;2.1425;16.9112
st5;-28.506856;-48.797201;14:37;0.5;25-Jan-17;4.58;27.47;25.6753;2.7848;33.9152
st4;-28.513133;-48.808737;14:30;0.5;25-Jan-17;;27.6539;28.2162;2.2816;33.0565
st7;-28.478801;-48.791544;14:53;0.7;25-Jan-17;2.77;28.2842;26.0396;8.4546;31.033
st8;-28.482447;-48.794307;14:59;0.6;25-Jan-17;0.62;28.0078;28.0353;2.2571;8.303
st9;-28.491002;-48.806651;15:07;0.6;25-Jan-17;6.09;27.8777;28.2276;10.1778;9.5939
st10;-28.462787;-48.804977;15:48;0.7;25-Jan-17;;26.733;26.169;8.5742;30.9573
st11;-28.469858;-48.810978;15:56;0.7;25-Jan-17;9.07;26.9961;28.4004;11.395;17.3093
st12;-28.474591;-48.823625;16:08;1.1;25-Jan-17;5.54;29.2442;29.4797;15.1226;15.5632
st14;-28.450671;-48.821951;17:01;0.8;25-Jan-17;6.65;29.2255;29.7773;15.8019;16.2899
st15;-28.457497;-48.831837;17:06;1.2;25-Jan-17;4.82;29.129;29.2222;16.3362;16.4893
st16;-28.46321;-48.845545;17:16;0.7;25-Jan-17;;29.3494;29.5106;15.8921;16.1568
st17;-28.44227;-48.840621;17:25;0.8;25-Jan-17;10.65;29.1186;29.5228;15.2466;15.9433
st18;-28.42399;-48.833888;17:35;0.7;25-Jan-17;27.70;28.6706;29.2639;14.4854;15.5259
st19;-28.433828;-48.82495;17:42;0.8;25-Jan-17;3.84;26.8076;29.2485;5.6456;15.5572
st20;-28.429048;-48.830182;17:46;0.7;25-Jan-17;5.54;24.9884;29.2861;11.4908;15.4014